phrase	notation_mapping	exact_quoted_query	scholar_url	observed_utc	source_evidence	status	action
weighted Fourier jet	u -> (u phi(u), phi'(u)); descriptive curve, no Gamma symbol	"""weighted Fourier jet"""	https://scholar.google.com/scholar?q=%22weighted%20Fourier%20jet%22	2026-09-06T15:37:41Z/2026-09-06T15:39:46Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain as the explicitly defined curve; no novelty inference.
rotational Fourier defect	R(xi,eta)	"""rotational Fourier defect"""	https://scholar.google.com/scholar?q=%22rotational%20Fourier%20defect%22	2026-09-06T15:37:41Z/2026-09-06T15:39:46Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain one canonical name and explicit formula.
projected Hellinger energy	E_n(T)	"""projected Hellinger energy"""	https://scholar.google.com/scholar?q=%22projected%20Hellinger%20energy%22	2026-09-06T15:37:41Z/2026-09-06T15:39:46Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain explicit negative-log-affinity definition.
matrix Fisher operator	\mathcal I; J, kappa; eigenvalues J+1, J-1, kappa	"""matrix Fisher operator"""	https://scholar.google.com/scholar?q=%22matrix%20Fisher%20operator%22	2026-09-06T15:39:46Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain one operator notation defined by score covariance.
measurable row-series realization	\Phi_T; L_a and its measurable version	"""measurable row-series realization"""	https://scholar.google.com/scholar?q=%22measurable%20row-series%20realization%22	2026-09-06T15:39:56Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain as description of the specified Borel maps.
location score	s=-f'/f=-2g'/g	"""location score"""	https://scholar.google.com/scholar?q=%22location%20score%22	2026-09-06T15:40:00Z	Scholar returned real-estate, tourism and genetics records; e.g. https://doi.org/10.1080/08965803.2023.2258012	hits_other_context	Retain standard statistical word with explicit sign convention.
scale score	d(x)=xs(x)-1	"""scale score"""	https://scholar.google.com/scholar?q=%22scale%20score%22	2026-09-06T15:40:13Z	Scholar returned clinical and psychometric scale scores; e.g. https://doi.org/10.1161/01.STR.30.6.1208	hits_other_context	Retain with explicit derivative formula; do not infer clinical scoring meaning.
finite-marginal likelihood ratio	\ell_{T,n}; reciprocal finite-marginal ratio	"""finite-marginal likelihood ratio"""	https://scholar.google.com/scholar?q=%22finite-marginal%20likelihood%20ratio%22	2026-09-06T15:41:12Z	Google Scholar displayed no matching articles.	no_exact_articles	Retain as explicit description of the finite-marginal Radon-Nikodym derivative.
likelihood ratio	\ell_T=d nu_T/d mu and local likelihood ratios	"""likelihood ratio"""	https://scholar.google.com/scholar?q=%22likelihood%20ratio%22	2026-09-06T15:41:26Z	Scholar returned standard likelihood-ratio literature; Chernoff (1954), https://doi.org/10.1214/aoms/1177728725	hits_standard_context	Retain standard name and specify reference measure.
Hellinger affinity	\Aff(lambda,nu)	"""Hellinger affinity"""	https://scholar.google.com/scholar?q=%22Hellinger%20affinity%22	2026-09-06T15:41:34Z	Scholar returned statistical affinity studies; https://www.mdpi.com/1099-4300/25/4/612	hits_standard_context	Retain integral-of-square-roots convention.
Hellinger distance	h(lambda,nu)	"""Hellinger distance"""	https://scholar.google.com/scholar?q=%22Hellinger%20distance%22	2026-09-06T15:41:40Z	Scholar returned standard Hellinger-distance literature; https://doi.org/10.1214/aos/1176325512	hits_standard_context	Retain h^2=2-2 Aff convention.
Hellinger coercivity	local/global norm inequalities; local constants c,C,delta	"""Hellinger coercivity"""	https://scholar.google.com/scholar?q=%22Hellinger%20coercivity%22	2026-09-06T15:41:46Z	Google Scholar displayed no matching articles.	no_exact_articles	Keep descriptive estimate titles rather than a new standalone object.
finite real Fourier sums	p,q,r; L_1,L_2 dual moment construction	"""finite real Fourier sums"""	https://scholar.google.com/scholar?q=%22finite%20real%20Fourier%20sums%22	2026-09-06T15:41:57Z	Scholar returned Fourier-analysis papers; https://doi.org/10.1002/mma.3343 and https://arxiv.org/abs/2510.27453	hits_related_context	Retain explicit finite linear combinations of 1, sine and cosine.
signed permutation	\mathcal P; \mathcal P_n; law-preserving signs epsilon	"""signed permutation"""	https://scholar.google.com/scholar?q=%22signed%20permutation%22	2026-09-06T15:42:15Z	Scholar returned signed-permutation combinatorics; https://doi.org/10.1186/s13015-015-0040-x	hits_standard_context	Retain with the explicit restriction that each sign preserves rho.
coordinate law	\rho=Law(X); f when a density exists	"""coordinate law"""	https://scholar.google.com/scholar?q=%22coordinate%20law%22	2026-09-06T15:42:20Z	Scholar returned mainly legal-coordination records on the first page.	hits_other_context	Keep local probability-law definition; do not treat lexical legal hits as mathematical collisions.
product law	\mu=\rho^{\otimes N}; \mu_n=\rho^{\otimes n}	"""product law"""	https://scholar.google.com/scholar?q=%22product%20law%22	2026-09-06T15:42:26Z	Scholar returned mainly product-regulation and liability records on the first page.	hits_other_context	Retain explicit tensor-product definition.
characteristic function	\phi(u)=E exp(iuX); phi_Y, phi_X when laws change	"""characteristic function"""	https://scholar.google.com/scholar?q=%22characteristic%20function%22	2026-09-06T15:42:33Z	Scholar returned empirical characteristic-function theory; https://doi.org/10.1214/aos/1176343742	hits_standard_context	Retain standard name and Fourier sign convention.
location Fisher information	J=E s(X)^2	"""location Fisher information"""	https://scholar.google.com/scholar?q=%22location%20Fisher%20information%22	2026-09-06T15:42:40Z	Scholar returned sensor-localization information studies on the first page.	hits_context_dependent	Retain with J defined from the one-dimensional location score.
scale Fisher information	kappa=E d(X)^2	"""scale Fisher information"""	https://scholar.google.com/scholar?q=%22scale%20Fisher%20information%22	2026-09-06T15:42:44Z	Scholar returned perceptual-scale information metrics; https://proceedings.iclr.cc/paper_files/paper/2024/hash/a0feedddef603e6da86478808e0b3db8-Abstract-Conference.html	hits_context_dependent	Retain with kappa defined from the one-dimensional scale score.
Hilbert-Schmidt perturbation	K=TQ^{-1}-I; K_n; U-Q	"""Hilbert-Schmidt perturbation"""	https://scholar.google.com/scholar?q=%22Hilbert-Schmidt%20perturbation%22	2026-09-06T15:42:49Z	Scholar returned operator perturbation theory; https://doi.org/10.3233/ASY-2002-535	hits_standard_context	Retain standard perturbation terminology.
Hilbert-Schmidt ideal	\mathcal S_2; Hilbert-Schmidt norm	"""Hilbert-Schmidt ideal"""	https://scholar.google.com/scholar?q=%22Hilbert-Schmidt%20ideal%22	2026-09-06T15:42:54Z	Scholar returned Hilbert-Schmidt operator and integrable-system literature.	hits_standard_context	Retain standard ideal notation.
Frobenius norm	||A||_F; d_n(T) as distance from allowed permutations	"""Frobenius norm"""	https://scholar.google.com/scholar?q=%22Frobenius%20norm%22	2026-09-06T15:42:58Z	Scholar returned The Frobenius norm and the commutator; https://www.sciencedirect.com/science/article/pii/S0024379508002772	hits_standard_context	Retain standard norm and explicit finite-dimensional distance definition.
operator norm	||T||_op	"""operator norm"""	https://scholar.google.com/scholar?q=%22operator%20norm%22	2026-09-06T15:43:02Z	Scholar returned operator-norm research; https://arxiv.org/abs/2509.11979	hits_standard_context	Retain standard norm notation.
uniform integrability	likelihood ratios, reciprocals and squares of linear forms	"""uniform integrability"""	https://scholar.google.com/scholar?q=%22uniform%20integrability%22	2026-09-06T15:43:06Z	Scholar returned Uniform integrability: an introduction; https://rendiconti.dmi.units.it/volumi/23/02.pdf	hits_standard_context	Retain standard property with each reference measure specified.
exact linear stabilizer	{T:nu_T=mu}; identified as \mathcal P in the finite-variance branch and \mathcal P^{\pm} in the symmetric stable branch	"""exact linear stabilizer"""	https://scholar.google.com/scholar?q=%22exact%20linear%20stabilizer%22	2026-09-06T15:51:14Z	Scholar returned a finite-group paper; https://arxiv.org/abs/2608.07275	hits_related_context	Retain with the measure-preservation definition; no uniqueness claim.
covariance defect	TT^*-I and T^*T-I	"""covariance defect"""	https://scholar.google.com/scholar?q=%22covariance%20defect%22	2026-09-06T15:51:20Z	Scholar returned Gaussian-density and operator-covariance papers; https://arxiv.org/abs/2607.07712	hits_related_context	Retain as the explicitly displayed covariance difference.
