object_or_phrase	kind	scope	python_regex	total_lexical_occurrences	direct_result_occurrences	result_referenced_equation_occurrences	macro_expansion_carrier_occurrences	first_counted_occurrence	definition_or_semantic_expansion	burden_assessment	decision	limits_or_notes	result_locations_after_expansion	counted_sections
\rho	notation	exported	\\rho(?![A-Za-z_^])	51	17	0	64	sections/01-introduction-and-main-results.tex:7	common finite-variance coordinate law	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:240; sections/05-finite-variance-equivalence-and-global-rigidity.tex:24; sections/05-finite-variance-equivalence-and-global-rigidity.tex:295; sections/05-finite-variance-equivalence-and-global-rigidity.tex:296; sections/05-finite-variance-equivalence-and-global-rigidity.tex:302; sections/05-finite-variance-equivalence-and-global-rigidity.tex:335; sections/05-finite-variance-equivalence-and-global-rigidity.tex:340; sections/07-zero-set-row-condition-and-linear-equivalence.tex:51; sections/07-zero-set-row-condition-and-linear-equivalence.tex:151; sections/07-zero-set-row-condition-and-linear-equivalence.tex:169; sections/07-zero-set-row-condition-and-linear-equivalence.tex:182; sections/07-zero-set-row-condition-and-linear-equivalence.tex:379; sections/07-zero-set-row-condition-and-linear-equivalence.tex:380; sections/07-zero-set-row-condition-and-linear-equivalence.tex:381; sections/07-zero-set-row-condition-and-linear-equivalence.tex:383; sections/07-zero-set-row-condition-and-linear-equivalence.tex:583; sections/01-introduction-and-main-results.tex:189; sections/01-introduction-and-main-results.tex:196; sections/01-introduction-and-main-results.tex:198; sections/01-introduction-and-main-results.tex:204; sections/01-introduction-and-main-results.tex:208; sections/01-introduction-and-main-results.tex:209; sections/01-introduction-and-main-results.tex:211; sections/01-introduction-and-main-results.tex:213; sections/01-introduction-and-main-results.tex:214; sections/01-introduction-and-main-results.tex:217; sections/01-introduction-and-main-results.tex:242; sections/01-introduction-and-main-results.tex:251; sections/04-measurable-realization-and-dichotomy.tex:25; sections/04-measurable-realization-and-dichotomy.tex:52; sections/04-measurable-realization-and-dichotomy.tex:137; sections/04-measurable-realization-and-dichotomy.tex:212; sections/04-measurable-realization-and-dichotomy.tex:214; sections/04-measurable-realization-and-dichotomy.tex:219; sections/04-measurable-realization-and-dichotomy.tex:222; sections/04-measurable-realization-and-dichotomy.tex:224; sections/04-measurable-realization-and-dichotomy.tex:229; sections/04-measurable-realization-and-dichotomy.tex:230; sections/04-measurable-realization-and-dichotomy.tex:231; sections/04-measurable-realization-and-dichotomy.tex:233; sections/04-measurable-realization-and-dichotomy.tex:235; sections/05-finite-variance-equivalence-and-global-rigidity.tex:26; sections/05-finite-variance-equivalence-and-global-rigidity.tex:29; sections/05-finite-variance-equivalence-and-global-rigidity.tex:30; sections/05-finite-variance-equivalence-and-global-rigidity.tex:31; sections/05-finite-variance-equivalence-and-global-rigidity.tex:35; sections/05-finite-variance-equivalence-and-global-rigidity.tex:46; sections/05-finite-variance-equivalence-and-global-rigidity.tex:140; sections/05-finite-variance-equivalence-and-global-rigidity.tex:225; sections/05-finite-variance-equivalence-and-global-rigidity.tex:428; sections/05-finite-variance-equivalence-and-global-rigidity.tex:437; sections/05-finite-variance-equivalence-and-global-rigidity.tex:463; sections/05-finite-variance-equivalence-and-global-rigidity.tex:552; sections/05-finite-variance-equivalence-and-global-rigidity.tex:827; sections/05-finite-variance-equivalence-and-global-rigidity.tex:832; sections/07-zero-set-row-condition-and-linear-equivalence.tex:54; sections/07-zero-set-row-condition-and-linear-equivalence.tex:62; sections/07-zero-set-row-condition-and-linear-equivalence.tex:156; sections/07-zero-set-row-condition-and-linear-equivalence.tex:161; sections/07-zero-set-row-condition-and-linear-equivalence.tex:166; sections/07-zero-set-row-condition-and-linear-equivalence.tex:170; sections/07-zero-set-row-condition-and-linear-equivalence.tex:174; sections/07-zero-set-row-condition-and-linear-equivalence.tex:175; sections/07-zero-set-row-condition-and-linear-equivalence.tex:187; sections/07-zero-set-row-condition-and-linear-equivalence.tex:375; sections/07-zero-set-row-condition-and-linear-equivalence.tex:392; sections/07-zero-set-row-condition-and-linear-equivalence.tex:555; sections/07-zero-set-row-condition-and-linear-equivalence.tex:566; sections/07-zero-set-row-condition-and-linear-equivalence.tex:567; sections/07-zero-set-row-condition-and-linear-equivalence.tex:573; sections/07-zero-set-row-condition-and-linear-equivalence.tex:575; sections/07-zero-set-row-condition-and-linear-equivalence.tex:625; sections/07-zero-set-row-condition-and-linear-equivalence.tex:674; sections/07-zero-set-row-condition-and-linear-equivalence.tex:677; sections/07-zero-set-row-condition-and-linear-equivalence.tex:722; sections/07-zero-set-row-condition-and-linear-equivalence.tex:734; sections/07-zero-set-row-condition-and-linear-equivalence.tex:744; sections/07-zero-set-row-condition-and-linear-equivalence.tex:746	all
\mu	notation	exported	\\mu(?![A-Za-z_^])	194	70	0	0	sections/01-introduction-and-main-results.tex:8	default product law rho^(tensor N), with explicit local rebinding in general-measure results	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:189; sections/01-introduction-and-main-results.tex:196; sections/01-introduction-and-main-results.tex:198; sections/01-introduction-and-main-results.tex:204; sections/01-introduction-and-main-results.tex:208; sections/01-introduction-and-main-results.tex:209; sections/01-introduction-and-main-results.tex:211; sections/01-introduction-and-main-results.tex:213; sections/01-introduction-and-main-results.tex:214; sections/01-introduction-and-main-results.tex:217; sections/01-introduction-and-main-results.tex:242; sections/01-introduction-and-main-results.tex:251; sections/04-measurable-realization-and-dichotomy.tex:25; sections/04-measurable-realization-and-dichotomy.tex:52; sections/04-measurable-realization-and-dichotomy.tex:137; sections/04-measurable-realization-and-dichotomy.tex:212; sections/04-measurable-realization-and-dichotomy.tex:214; sections/04-measurable-realization-and-dichotomy.tex:219; sections/04-measurable-realization-and-dichotomy.tex:222; sections/04-measurable-realization-and-dichotomy.tex:224; sections/04-measurable-realization-and-dichotomy.tex:229; sections/04-measurable-realization-and-dichotomy.tex:230; sections/04-measurable-realization-and-dichotomy.tex:231; sections/04-measurable-realization-and-dichotomy.tex:233; sections/04-measurable-realization-and-dichotomy.tex:235; sections/05-finite-variance-equivalence-and-global-rigidity.tex:24; sections/05-finite-variance-equivalence-and-global-rigidity.tex:26; sections/05-finite-variance-equivalence-and-global-rigidity.tex:29; sections/05-finite-variance-equivalence-and-global-rigidity.tex:30; sections/05-finite-variance-equivalence-and-global-rigidity.tex:31; sections/05-finite-variance-equivalence-and-global-rigidity.tex:35; sections/05-finite-variance-equivalence-and-global-rigidity.tex:46; sections/05-finite-variance-equivalence-and-global-rigidity.tex:140; sections/05-finite-variance-equivalence-and-global-rigidity.tex:225; sections/05-finite-variance-equivalence-and-global-rigidity.tex:428; sections/05-finite-variance-equivalence-and-global-rigidity.tex:437; sections/05-finite-variance-equivalence-and-global-rigidity.tex:463; sections/05-finite-variance-equivalence-and-global-rigidity.tex:552; sections/05-finite-variance-equivalence-and-global-rigidity.tex:827; sections/05-finite-variance-equivalence-and-global-rigidity.tex:832; sections/07-zero-set-row-condition-and-linear-equivalence.tex:51; sections/07-zero-set-row-condition-and-linear-equivalence.tex:54; sections/07-zero-set-row-condition-and-linear-equivalence.tex:62; sections/07-zero-set-row-condition-and-linear-equivalence.tex:156; sections/07-zero-set-row-condition-and-linear-equivalence.tex:161; sections/07-zero-set-row-condition-and-linear-equivalence.tex:166; sections/07-zero-set-row-condition-and-linear-equivalence.tex:170; sections/07-zero-set-row-condition-and-linear-equivalence.tex:174; sections/07-zero-set-row-condition-and-linear-equivalence.tex:175; sections/07-zero-set-row-condition-and-linear-equivalence.tex:187; sections/07-zero-set-row-condition-and-linear-equivalence.tex:375; sections/07-zero-set-row-condition-and-linear-equivalence.tex:392; sections/07-zero-set-row-condition-and-linear-equivalence.tex:555; sections/07-zero-set-row-condition-and-linear-equivalence.tex:566; sections/07-zero-set-row-condition-and-linear-equivalence.tex:567; sections/07-zero-set-row-condition-and-linear-equivalence.tex:573; sections/07-zero-set-row-condition-and-linear-equivalence.tex:575; sections/07-zero-set-row-condition-and-linear-equivalence.tex:625; sections/07-zero-set-row-condition-and-linear-equivalence.tex:674; sections/07-zero-set-row-condition-and-linear-equivalence.tex:677; sections/07-zero-set-row-condition-and-linear-equivalence.tex:722; sections/07-zero-set-row-condition-and-linear-equivalence.tex:734; sections/07-zero-set-row-condition-and-linear-equivalence.tex:744; sections/07-zero-set-row-condition-and-linear-equivalence.tex:746	all
\phi	notation	exported	\\phi(?![A-Za-z_])	67	7	0	0	sections/01-introduction-and-main-results.tex:68	characteristic function u -> E exp(iuX)	PASS: load-bearing	retain canonical name		sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:67; sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:68; sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:80; sections/05-finite-variance-equivalence-and-global-rigidity.tex:300	all
R	notation	exported	(?<![A-Za-z\\])R(?![A-Za-z_])	12	2	0	0	sections/01-introduction-and-main-results.tex:74	eta phi'(xi)phi(eta)-xi phi(xi)phi'(eta)	PASS: load-bearing	retain canonical name		sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:64; sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:73	all
W_{\xi,\eta}	notation	exported	W_\{\\xi,\\eta\}	6	1	0	0	sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:31	product of the two centered complex exponentials	PASS: load-bearing	retain canonical name		sections/02-rotational-fourier-defect-and-gaussian-characterization.tex:66	all
H	notation	exported	(?<![A-Za-z\\])H(?![A-Za-z_])	42	24	0	0	sections/01-introduction-and-main-results.tex:134	ell^2(N;R), the coefficient Hilbert space	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:186; sections/01-introduction-and-main-results.tex:191; sections/01-introduction-and-main-results.tex:197; sections/04-measurable-realization-and-dichotomy.tex:23; sections/04-measurable-realization-and-dichotomy.tex:43; sections/04-measurable-realization-and-dichotomy.tex:46; sections/04-measurable-realization-and-dichotomy.tex:135; sections/04-measurable-realization-and-dichotomy.tex:206; sections/05-finite-variance-equivalence-and-global-rigidity.tex:25; sections/05-finite-variance-equivalence-and-global-rigidity.tex:37; sections/05-finite-variance-equivalence-and-global-rigidity.tex:552; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:78; sections/06-symmetric-stable-products-and-anisotropic-geometry.tex:92; sections/07-zero-set-row-condition-and-linear-equivalence.tex:59; sections/07-zero-set-row-condition-and-linear-equivalence.tex:152; sections/07-zero-set-row-condition-and-linear-equivalence.tex:159; sections/07-zero-set-row-condition-and-linear-equivalence.tex:170; sections/07-zero-set-row-condition-and-linear-equivalence.tex:171; sections/07-zero-set-row-condition-and-linear-equivalence.tex:173; sections/07-zero-set-row-condition-and-linear-equivalence.tex:181; sections/07-zero-set-row-condition-and-linear-equivalence.tex:185; sections/07-zero-set-row-condition-and-linear-equivalence.tex:371; sections/07-zero-set-row-condition-and-linear-equivalence.tex:676	all
\mathcal P	notation	exported	\\mathcal P(?![A-Za-z_^])	24	13	0	0	sections/01-introduction-and-main-results.tex:144	signed coordinate permutations whose signs preserve rho	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:191; sections/01-introduction-and-main-results.tex:198; sections/01-introduction-and-main-results.tex:242; sections/01-introduction-and-main-results.tex:253; sections/05-finite-variance-equivalence-and-global-rigidity.tex:429; sections/05-finite-variance-equivalence-and-global-rigidity.tex:555; sections/05-finite-variance-equivalence-and-global-rigidity.tex:779; sections/05-finite-variance-equivalence-and-global-rigidity.tex:830; sections/07-zero-set-row-condition-and-linear-equivalence.tex:65; sections/07-zero-set-row-condition-and-linear-equivalence.tex:159; sections/07-zero-set-row-condition-and-linear-equivalence.tex:173; sections/07-zero-set-row-condition-and-linear-equivalence.tex:186	all
\Phi_T	notation	exported	\\Phi_T(?![A-Za-z_])	19	4	0	26	sections/01-introduction-and-main-results.tex:156	measurable row-series realization of T	PASS: load-bearing	retain canonical name		sections/04-measurable-realization-and-dichotomy.tex:25; sections/04-measurable-realization-and-dichotomy.tex:38; sections/04-measurable-realization-and-dichotomy.tex:41; sections/07-zero-set-row-condition-and-linear-equivalence.tex:677; sections/01-introduction-and-main-results.tex:189; sections/01-introduction-and-main-results.tex:196; sections/01-introduction-and-main-results.tex:198; sections/01-introduction-and-main-results.tex:204; sections/01-introduction-and-main-results.tex:217; sections/04-measurable-realization-and-dichotomy.tex:137; sections/04-measurable-realization-and-dichotomy.tex:207; sections/04-measurable-realization-and-dichotomy.tex:211; sections/04-measurable-realization-and-dichotomy.tex:213; sections/04-measurable-realization-and-dichotomy.tex:222; sections/04-measurable-realization-and-dichotomy.tex:224; sections/04-measurable-realization-and-dichotomy.tex:229; sections/04-measurable-realization-and-dichotomy.tex:230; sections/04-measurable-realization-and-dichotomy.tex:231; sections/04-measurable-realization-and-dichotomy.tex:237; sections/04-measurable-realization-and-dichotomy.tex:239; sections/05-finite-variance-equivalence-and-global-rigidity.tex:26; sections/05-finite-variance-equivalence-and-global-rigidity.tex:30; sections/05-finite-variance-equivalence-and-global-rigidity.tex:463; sections/05-finite-variance-equivalence-and-global-rigidity.tex:552; sections/07-zero-set-row-condition-and-linear-equivalence.tex:62; sections/07-zero-set-row-condition-and-linear-equivalence.tex:156; sections/07-zero-set-row-condition-and-linear-equivalence.tex:170; sections/07-zero-set-row-condition-and-linear-equivalence.tex:186; sections/07-zero-set-row-condition-and-linear-equivalence.tex:375; sections/07-zero-set-row-condition-and-linear-equivalence.tex:392	all
\nu_T	notation	exported	\\nu_T(?![A-Za-z_])	76	28	0	0	sections/01-introduction-and-main-results.tex:159	(Phi_T)_# mu	PASS: load-bearing	retain canonical name		sections/01-introduction-and-main-results.tex:189; sections/01-introduction-and-main-results.tex:196; sections/01-introduction-and-main-results.tex:198; sections/01-introduction-and-main-results.tex:204; sections/01-introduction-and-main-results.tex:217; sections/04-measurable-realization-and-dichotomy.tex:137; sections/04-measurable-realization-and-dichotomy.tex:207; sections/04-measurable-realization-and-dichotomy.tex:211; sections/04-measurable-realization-and-dichotomy.tex:213; sections/04-measurable-realization-and-dichotomy.tex:222; sections/04-measurable-realization-and-dichotomy.tex:224; sections/04-measurable-realization-and-dichotomy.tex:229; sections/04-measurable-realization-and-dichotomy.tex:230; sections/04-measurable-realization-and-dichotomy.tex:231; sections/04-measurable-realization-and-dichotomy.tex:237; sections/04-measurable-realization-and-dichotomy.tex:239; sections/05-finite-variance-equivalence-and-global-rigidity.tex:26; sections/05-finite-variance-equivalence-and-global-rigidity.tex:30; sections/05-finite-variance-equivalence-and-global-rigidity.tex:463; sections/05-finite-variance-equivalence-and-global-rigidity.tex:552; sections/07-zero-set-row-condition-and-linear-equivalence.tex:62; sections/07-zero-set-row-condition-and-linear-equivalence.tex:156; sections/07-zero-set-row-condition-and-linear-equivalence.tex:170; sections/07-zero-set-row-condition-and-linear-equivalence.tex:186; sections/07-zero-set-row-condition-and-linear-equivalence.tex:375; sections/07-zero-set-row-condition-and-linear-equivalence.tex:392	all
\Aff	notation	exported	\\Aff(?![A-Za-z])	28	8	0	0	sections/01-introduction-and-main-results.tex:163	Hellinger affinity	PASS: load-bearing	retain canonical name		sections/04-measurable-realization-and-dichotomy.tex:213; sections/04-measurable-realization-and-dichotomy.tex:222; sections/07-zero-set-row-condition-and-linear-equivalence.tex:560; sections/07-zero-set-row-condition-and-linear-equivalence.tex:566; sections/07-zero-set-row-condition-and-linear-equivalence.tex:744; sections/07-zero-set-row-condition-and-linear-equivalence.tex:745	all
